PC NO,PART NAME,ALIAS,QTY
1,MX-28T_R V1,MX-28T_R v1,1
2,BEARING,Bearing,2
3,PIPKA,Pipka,4
4,DIN 7991 M3 X 22,DIN 7991 M3 x 22,3
5,DIN 912 M3 X 10,DIN 912 M3 x 10,1
6,DIN 7991 M3 X 10,DIN 7991 M3 x 10,12
7,DIN 912 M2.5 X 6,DIN 912 M2.5 x 6,2
8,DIN 7991 M2 X 6,DIN 7991 M2 x 6,8
9,DIN 912 M3 X 6,DIN 912 M3 x 6,2
10,IME2023.01.01.001,Shaft,1
11,IME2023.01.01.002,Disk,1
12,IME2023.01.01.003,Disk lapka,1
13,IME2023.01.01.004,Spacer with a hole,1
14,IME2023.01.01.005,Current collector,1
15,IME2023.01.01.006,Spacer,1
16,IME2023.01.01.01.004,Shaft cap,1
17,IME2023.01.01.01.003,Plate,1
18,IME2023.01.01.01.002,Plate,1
19,IME2023.01.01.01.001,Shaft box,1
20,IME2023.01.01.01.000,Base subassembly,1
21,IME2023.01.01.007,Lapka,1
